config_id,runs,success_count,success_rate,iterations_avg,iterations_median,iterations_max,duration_seconds_avg,prompt_tokens_total,response_tokens_total
Flash25Prompt4Stateless_Shot0,4,4,1.0,3.25,3.5,5,0.0,0,0
Flash25Prompt4Stateless_Shot1,4,4,1.0,1.25,1.0,2,0.0,0,0
Flash25Prompt4Stateless_Shot2,4,4,1.0,2.5,2.5,4,0.0,0,0
Flash25Prompt4_Shot0,4,4,1.0,5.25,5.0,10,0.0,0,0
Flash25Prompt4_Shot1,4,4,1.0,1.75,2.0,2,0.0,0,0
Flash25Prompt4_Shot2,4,4,1.0,2.25,1.5,5,0.0,0,0
Flash25Prompt5Stateless_Shot0,4,4,1.0,2.25,2.5,3,0.0,0,0
Flash25Prompt5Stateless_Shot1,4,4,1.0,2.25,2.0,4,0.0,0,0
Flash25Prompt5Stateless_Shot2,4,4,1.0,2.25,2.0,4,0.0,0,0
Flash25Prompt5_Shot0,4,4,1.0,3.25,3.5,5,0.0,0,0
Flash25Prompt5_Shot1,4,4,1.0,1.75,2.0,2,0.0,0,0
Flash25Prompt5_Shot2,4,4,1.0,3.25,2.5,6,0.0,0,0
Gemini31ProPrompt4Stateless_Shot0,4,4,1.0,1.0,1.0,1,0.0,0,0
Gemini31ProPrompt4Stateless_Shot1,4,4,1.0,1.25,1.0,2,0.0,0,0
Gemini31ProPrompt4Stateless_Shot2,4,4,1.0,1.0,1.0,1,0.0,0,0
Gemini31ProPrompt4_Shot0,4,4,1.0,1.5,1.5,2,0.0,0,0
Gemini31ProPrompt4_Shot1,4,4,1.0,1.25,1.0,2,0.0,0,0
Gemini31ProPrompt4_Shot2,4,4,1.0,1.0,1.0,1,0.0,0,0
Gemini31ProPrompt5Stateless_Shot0,4,4,1.0,1.25,1.0,2,0.0,0,0
Gemini31ProPrompt5Stateless_Shot1,4,4,1.0,1.25,1.0,2,0.0,0,0
Gemini31ProPrompt5Stateless_Shot2,4,4,1.0,1.25,1.0,2,0.0,0,0
Gemini31ProPrompt5_Shot0,4,4,1.0,1.25,1.0,2,0.0,0,0
Gemini31ProPrompt5_Shot1,4,4,1.0,1.0,1.0,1,0.0,0,0
Gemini31ProPrompt5_Shot2,4,4,1.0,1.5,1.5,2,0.0,0,0
